Device,CPN,Video ID,Advertisement,Short Link,Video format,Audio format,Volume/Normalized,Bandwidth,Readahead,Viewport,Dropped frames,Mystery Text
LGE Nexus 5 8.1.0,O6JdtKnipTV0RMb5,A1sc7UED2P4,,https://www.youtube.com/shorts/A1sc7UED2P4,299 avc1 1080x1920@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 4.68 s,1080x1704xfalse,0 / 125,GQ:4.7s;
LGE Nexus 5 8.1.0,O6JdtKnipTV0RMb5,A1sc7UED2P4,,https://www.youtube.com/shorts/A1sc7UED2P4,299 avc1 1080x1920@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 5.85 s,1080x1704xfalse,1 / 456,GQ:5.9s;
LGE Nexus 5 8.1.0,0xh5Pp23vXxqN8fp,pydPsRzDi9Q,Yes,https://www.youtube.com/shorts/pydPsRzDi9Q,298 avc1 720x1280@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 13.1 s,1080x1704xfalse,0 / 148,GQ:13.0s;
LGE Nexus 5 8.1.0,0xh5Pp23vXxqN8fp,pydPsRzDi9Q,Yes,https://www.youtube.com/shorts/pydPsRzDi9Q,298 avc1 720x1280@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 6.55 s,1080x1704xfalse,0 / 533,GQ:6.5s;
LGE Nexus 5 8.1.0,rm16JlRaYDkcGkX3,vKVYfrSVmVk,,https://www.youtube.com/shorts/vKVYfrSVmVk,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 7.06 mbps, 16.4 s,1080x1704xfalse,0 / 62,GQ:16.4s;
LGE Nexus 5 8.1.0,rm16JlRaYDkcGkX3,vKVYfrSVmVk,,https://www.youtube.com/shorts/vKVYfrSVmVk,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 9.44 s,1080x1704xfalse,0 / 270,GQ:9.4s;
LGE Nexus 5 8.1.0,SGNASm4j5X_rEylX,9xcTIYyk7ag,,https://www.youtube.com/shorts/9xcTIYyk7ag,135 avc1 480x854@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -4.2 dB), 0.00 kbps, 16.9 s,1080x1704xfalse,0 / 63,G
LGE Nexus 5 8.1.0,SGNASm4j5X_rEylX,9xcTIYyk7ag,,https://www.youtube.com/shorts/9xcTIYyk7ag,135 avc1 480x854@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -4.2 dB), 0.00 kbps, 10.3 s,1080x1704xfalse,0 / 260,G
LGE Nexus 5 8.1.0,pVFyv6r5NzKDIWh9,gfasTZWraG0,,https://www.youtube.com/shorts/gfasTZWraG0,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 2.98 s,1080x1704xfalse,0 / 59,GQ:10.8s;
LGE Nexus 5 8.1.0,pVFyv6r5NzKDIWh9,gfasTZWraG0,,https://www.youtube.com/shorts/gfasTZWraG0,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 11.8 mbps, 4.53 s,1080x1704xfalse,0 / 246,GQ:4.5s;
